No,Title,Maker,Catalog_No,Release_date,Genre,Proper_price,yomi_ja,PRG-ROM,CHR-ROM,MAP,Memory,Serial_number,Rarity,Memo
567,光と闇の戦い 新里見八犬伝,東映動画,TDF-91,1989/12/8,RPG,6200,ひかりとやみのたたかい しんさとみはっけんでん,256K,0K,1,yes,,,
568,星霊狩り,ハドソン,HFC-V1,1989/12/8,ADV,5800,ほしれいがり,256K,0K,2,no,,,
569,SUPER STAR プロレスリング,ポニーキャニオン,R59V5923(PNF-S9),1989/12/9,ACT,5900,すーぱーすたーぷろれすりんぐ,128K,128K,4,no,,,
570,アバドックス,ナツメ,NAT-A3,1989/12/15,SHT,5800,あばどっくす,128K,128K,1,no,,,
571,かってにシロクマ もりをすくえのまき,CBSソニー,CBS-WR/59-FR-4,1989/12/15,ADV,5900,かってにしろくま もりをすくえのまき,128K,128K,1,no,,,
572,スウィートホーム,カプコン,CAP-EH,1989/12/15,RPG,6500,すうぃーとほーむ,256K,0K,1,yes,,,
573,トップガン デュアルファイターズ,コナミ,KDS-TG,1989/12/15,SHT,6000,とっぷがん でゅあるふぁいたーず,128K,128K,4,no,,,
574,ピンボールクエスト,ジャレコ,JF-26,1989/12/15,TAB,5600,ぴんぼーるくえすと,128K,128K,72,no,,,
575,ファミコン野球盤,エポック社,EPO-EY,1989/12/15,SPT,6200,ふぁみこんやきゅうばん,128K,128K,1,no,,,
576,フリップル,タイトー,TFC-EP-3900,1989/12/15,PZL,3900,ふりっぷる,32K,32K,3,no,29,,
577,激闘スタジアム,テクモ,TCF-EF,1989/12/15,SPT,5500,げきとうすたじあむ,128K,128K,1,no,9,,
578,神仙伝,アイレム,IF-16(TIX-Z3),1989/12/15,RPG,6300,しんせんでん,256K,0K,1,yes,16,,
579,I LOVE ソフトボール,ココナッツジャパン,CDS-S6,1989/12/19,SPT,6500,あいらぶそふとぼーる,128K,128K,1,no,,,
580,エモやんの10倍プロ野球 セリーグ編,ヘクト,HCT-IB/005,1989/12/19,SPT,9700,えもやんの10ばいぷろやきゅう せりーぐへん,128K,128K,1,yes,,,
581,クォーターバックスクランブル,ポニーキャニオン,R59V5925(PNF-OS),1989/12/19,SPT,5900,くぉーたーばっくすくらんぶる,128K,128K,1,no,,,対[ホリトラック]
582,ファミスタ’90,ナムコ,-,1989/12/19,SPT,5800,ふぁみすた’90,128K,128K,19,yes,,,
583,マネーゲームⅡ 兜町の奇跡,ソフエル,SFL-ZM,1989/12/20,SLG,5900,まねーげーむⅡ かぶとちょうのきせき,128K,128K,1,no,,,
584,ザロードオブキング,ジャレコ,JF-25,1989/12/21,ACT,5600,ざろーどおぶきんぐ,128K,128K,18,no,,,
585,TM NETWORK LIVE IN POWER BOWL,エピックソニー,ESF-T9/ESPG31,1989/12/22,ADV,6200,てぃーえむねっとわーくらいぶいん,128K,128K,4,no,,,
586,バットマン,サンソフト,-,1989/12/22,ACT,6200,ばっとまん,128K,128K,69,no,,,
587,マッピーキッズ,ナムコ,-,1989/12/22,ACT,5800,まっぴーきっず,128K,128K,19,no,,,
588,悪魔城伝説,コナミ,RC845,1989/12/22,ACT,6500,あくまじょうでんせつ,256K,128K,24,no,,B,
589,双截龍Ⅱ The Revenge,テクノスジャパン,TJC-W2,1989/12/22,ACT,5900,ふたきりゅうⅡ The Revenge,128K,128K,4,no,,,
590,ヘラクレスの栄光Ⅱ タイタンの滅亡,データイースト,DFC-2H,1989/12/23,RPG,5900,へらくれすのえいこうⅡ たいたんのめつぼう,256K,0K,1,yes,,,
591,中国雀士物語 東風（トンフー）,ナツメ,NAT-TS,1989/12/23,TAB,5800,ちゅうごくじゃんしものがたり ひがしかぜ（とんふー）,128K,128K,1,no,,,
592,名門！多古西応援団,アスミック,ASM-T1,1989/12/25,SLG,6500,めいもん！たこにしおうえんだん,128K,128K,4,no,,,
593,スーパーラグビー,ティーエスエス,TSS-S7,1989/12/27,SPT,5900,すーぱーらぐびー,128K,128K,1,no,,,
594,がんばれゴエモン外伝 きえた黄金キセル,コナミ,RC857,1990/1/5,RPG,6980,がんばれごえもんがいでん きえたおうごんきせる,256K,256K,25,yes,,,
595,アドベンチャーズ オブ ロロ,HAL研究所,HAL-A4,1990/1/6,PZL,4900,あどべんちゃーず おぶ ろろ,32K,32K,4,no,,B,
596,囲碁名鑑,青木書店,HCT-II/006,1990/1/12,TAB,9680,いごめいかん,32K,8K,0,no,,B,
597,わんぱくダック夢冒険 DUCK TALES,カプコン,CAP-UK,1990/1/26,ACT,5800,わんぱくだっくゆめぼうけん DUCK TALES,128K,0K,2,no,,,
